,appearences,assists,blocks,captain,dispossesed,goals,hit_post,injured,inside_box_saves,interceptions,lineups,minutes,number,player_id,position_id,redcards,saves,substitute_in,substitute_out,substitutes_on_bench,tackles,yellowcards,yellowred
0,9,0,,0,,0,,FALSE,,,9,810,1,94965,1,0,,0,0,0,,1,0
1,0,0,,0,,0,,FALSE,,,0,0,25,95499,1,0,,0,0,1,,0,0
2,1,0,,0,,0,,FALSE,,,1,90,30,95130,1,0,,0,0,9,,0,0
3,10,0,,0,,1,,FALSE,,,10,856,3,94105,2,0,,0,1,0,,1,0
4,2,0,,0,,0,,FALSE,,,2,180,4,95878,2,0,,0,0,2,,0,0
5,7,0,,0,,0,,FALSE,,,7,630,5,3655,2,0,,0,0,1,,1,0
6,7,0,,0,,0,,FALSE,,,6,540,12,4211,2,0,,1,1,2,,1,0
7,1,0,,0,,0,,FALSE,,,1,90,15,4067,2,0,,0,0,7,,0,0
8,6,0,,0,,0,,FALSE,,,6,540,20,96098,2,0,,0,0,0,,0,0
9,2,0,,0,,0,,FALSE,,,2,180,23,95068,2,0,,0,0,1,,1,0
10,2,0,,0,,0,,FALSE,,,2,160,24,94391,2,0,,0,1,3,,0,0
11,5,0,,0,,0,,FALSE,,,4,367,31,94505,2,0,,1,0,1,,0,0
12,6,0,,0,,0,,FALSE,,,1,138,6,94583,3,0,,5,0,7,,0,0
13,9,0,,0,,2,,FALSE,,,9,810,7,882,3,0,,0,0,1,,2,0
14,8,0,,0,,4,,FALSE,,,8,694,8,94107,3,0,,0,3,0,,3,0
15,9,0,,0,,0,,FALSE,,,9,772,10,66,3,0,,0,2,0,,0,0
16,1,0,,0,,0,0,FALSE,,,1,90,18,1275,3,0,,0,0,3,,0,0
17,8,0,,0,,2,,FALSE,,,8,690,21,94069,3,0,,0,3,0,,3,0
18,5,0,,0,,0,,FALSE,,,2,188,26,94151,3,0,,3,1,8,,1,0
19,1,0,,0,,0,,FALSE,,,0,0,32,60973,3,0,,1,0,1,,0,0
20,10,0,,0,,4,,FALSE,,,8,627,9,375,4,0,,2,6,2,,1,0
